rank,Youtuber,subscribers,video views,video count,category,started,subscribers (in millions),video views(in millions)
59,Tilak,"19,900,000.00","8,016,504,550.00","4,956.00",Film & Animation,2020,19.9,80165.0455
60,Goldmines Bollywood,"24,500,000.00","7,900,925,552.00","3,101.00",Film & Animation,2015,24.5,79009.25552
61,Thanthi TV,"7,880,000.00","7,839,061,908.00","265,227.00",News & Politics,2012,7.88,78390.61908
62,ABP MAJHA,"10,200,000.00","7,760,979,523.00","259,179.00",News & Politics,2014,10.2,77609.79523
63,Harpreet SDC,"10,300,000.00","7,640,540,973.00","2,002.00",Entertainment,2019,10.3,76405.40973
64,VENDY YADUWANSHI,"10,300,000.00","7,613,800,487.00",748.00,Entertainment,2020,10.3,76138.00487
65,THE BROWN SIBLINGS,"12,200,000.00","7,492,002,684.00",769.00,Entertainment,2016,12.2,74920.02684
66,Prime Video India,"11,500,000.00","7,462,487,986.00","5,571.00",Entertainment,2016,11.5,74624.87986
67,TV9 Telugu Live,"9,590,000.00","7,451,125,456.00","233,719.00",Entertainment,2011,9.59,74511.25456
68,Sonotek,"18,900,000.00","7,386,976,456.00","8,225.00",Entertainment,2011,18.9,73869.76456
69,Wow Kidz Action,"16,800,000.00","7,375,675,421.00","1,524.00",Film & Animation,2017,16.8,73756.75421
70,Pari's Lifestyle,"11,900,000.00","7,283,112,819.00",403.00,People & Blogs,2018,11.9,72831.12819
71,Anand Audio,"10,300,000.00","7,252,380,921.00","4,795.00",Music,2011,10.3,72523.80921
72,News24,"16,800,000.00","7,229,122,908.00","187,168.00",News & Politics,2014,16.8,72291.22908
73,Zee Kids,"11,500,000.00","7,033,219,548.00","1,019.00",Film & Animation,2012,11.5,70332.19548
74,Vijay Kumar Viner Vlogs,"10,500,000.00","6,995,163,005.00","1,070.00",Entertainment,2019,10.5,69951.63005
75,Infobells Bangla,"14,200,000.00","6,953,630,130.00",311.00,Education,2016,14.2,69536.3013
76,Crazy XYZ,"25,500,000.00","6,928,514,776.00","1,184.00",Entertainment,2017,25.5,69285.14776
77,VikatanTV,"7,130,000.00","6,858,348,158.00","19,677.00",Shows,2011,7.13,68583.48158
78,NMF News,"15,600,000.00","6,797,930,753.00","103,065.00",News & Politics,2013,15.6,67979.30753
79,RS 1313 SHORTS,"12,900,000.00","6,791,757,683.00","4,675.00",Entertainment,2020,12.9,67917.57683
80,unknown boy varun,"17,700,000.00","6,759,224,739.00",309.00,Music,2016,17.7,67592.24739
81,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,"18,600,000.00","6,743,453,809.00",206.00,Education,2017,18.6,67434.53809
82,Busy Fun Ltd,"16,900,000.00","6,732,952,996.00",177.00,,2019,16.9,67329.52996
83,123 GO! Hindi,"10,400,000.00","6,657,758,838.00",418.00,Entertainment,2019,10.4,66577.58838
84,Venus Movies,"22,900,000.00","6,656,783,292.00","2,500.00",Entertainment,2010,22.9,66567.83292
85,TeluguOne,"9,210,000.00","6,592,944,386.00","44,342.00",Comedy,2006,9.21,65929.44386
86,Sony LIV,"13,500,000.00","6,561,533,567.00","9,853.00",Entertainment,2014,13.5,65615.33567
87,Heroindori,"12,500,000.00","6,538,610,248.00",340.00,Comedy,2020,12.5,65386.10248
88,NTV Telugu,"6,860,000.00","6,493,958,673.00","258,840.00",News & Politics,2014,6.86,64939.58673
89,Saregama TV Shows Tamil,"6,280,000.00","6,334,055,367.00","10,928.00",People & Blogs,2018,6.28,63340.55367
90,Right to Shiksha,"10,300,000.00","6,083,051,022.00","1,571.00",Education,2020,10.3,60830.51022
91,The Vishal bhatt,"7,980,000.00","6,034,453,628.00",777.00,Comedy,2021,7.98,60344.53628
92,SagaHits,"11,300,000.00","6,030,394,059.00","2,869.00",Music,2010,11.3,60303.94059
93,Mor Haryanvi,"12,000,000.00","6,018,237,357.00",408.00,Music,2015,12,60182.37357
94,Nirahua Music World,"11,500,000.00","6,006,518,280.00",789.00,Music,2014,11.5,60065.1828
95,Republic Bharat,"12,600,000.00","5,984,587,722.00","64,914.00",News & Politics,2019,12.6,59845.87722
96,SRK MUSIC,"14,300,000.00","5,955,337,315.00","4,972.00",Music,2012,14.3,59553.37315
97,Shalimar Telugu & Hindi Movies,"7,840,000.00","5,892,322,414.00","80,912.00",Entertainment,2013,7.84,58923.22414
98,Samayra Narula Official,"9,150,000.00","5,858,834,669.00",921.00,People & Blogs,2020,9.15,58588.34669
99,MY FAMILY,"14,800,000.00","5,842,649,008.00",238.00,,2019,14.8,58426.49008
100,SVF,"10,100,000.00","5,776,282,480.00","2,241.00",Music,2006,10.1,57762.8248
101,A2 Motivation by Arvind Arora,"14,400,000.00","5,775,193,738.00","2,081.00",Entertainment,2017,14.4,57751.93738
102,infobells - Kannada,"12,400,000.00","5,760,292,773.00",381.00,Education,2014,12.4,57602.92773
103,prashu__baby,"6,680,000.00","5,603,284,917.00",625.00,Entertainment,2011,6.68,56032.84917
104,Peppa Pig Hindi,"11,300,000.00","5,534,010,788.00",771.00,Film & Animation,2018,11.3,55340.10788
105,Ruh,"9,610,000.00","5,436,308,439.00",576.00,People & Blogs,2021,9.61,54363.08439
106,Total Gaming,"34,300,000.00","5,302,731,146.00","1,138.00",Gaming,2018,34.3,53027.31146
107,Shivam Malik,"7,210,000.00","5,249,758,189.00","4,854.00",Education,2012,7.21,52497.58189
108,MR. INDIAN HACKER,"29,800,000.00","5,175,763,997.00",874.00,Science & Technology,2012,29.8,51757.63997
109,TellyChakkar,"5,670,000.00","5,168,297,990.00","43,128.00",Entertainment,2007,5.67,51682.9799
110,T-Series Telugu,"7,620,000.00","5,138,669,160.00","5,370.00",Music,2014,7.62,51386.6916
111,Sidharrth TV,"7,540,000.00","5,125,681,693.00","10,097.00",Entertainment,2016,7.54,51256.81693
112,Village Cooking Channel,"19,600,000.00","5,110,135,908.00",219.00,Howto & Style,2018,19.6,51101.35908
113,Paayal Tena Short Videos,"7,440,000.00","5,093,423,351.00",493.00,People & Blogs,2021,7.44,50934.23351
114,infobells,"13,600,000.00","5,077,479,245.00",469.00,Education,2011,13.6,50774.79245
115,Dharma Productions,"10,100,000.00","5,036,348,904.00","1,245.00",Film & Animation,2010,10.1,50363.48904
116,Paytm,"534,000.00","5,023,348,000.00",641.00,People & Blogs,2013,0.534,50233.48
117,RDC Gujarati,"11,100,000.00","5,000,437,279.00","8,349.00",Music,2013,11.1,50004.37279
118,NEXT9NEWS हर खबर आप तक,"11,200,000.00","4,993,338,173.00","130,522.00",Entertainment,2014,11.2,49933.38173
119,Kanak News,"6,410,000.00","4,969,537,200.00","191,931.00",News & Politics,2011,6.41,49695.372
120,Enterr10 Rangeela,"10,000,000.00","4,969,310,859.00","3,141.00",Entertainment,2017,10,49693.10859
121,CHANDAN ART ACADEMY,"6,650,000.00","4,925,445,035.00","1,240.00",Education,2016,6.65,49254.45035
122,Pradeep life vlogs,"9,420,000.00","4,901,218,075.00",554.00,Entertainment,2016,9.42,49012.18075
