rank,Youtuber,subscribers,video views,video count,category,started,subscribers (in millions),video views(in millions)
256,Mridul Madhok,"6,150,000.00","2,613,366,327.00","2,664.00",Education,2010,6.15,26133.66327
257,rjkarishma,"5,140,000.00","2,610,182,448.00",175.00,People & Blogs,2013,5.14,26101.82448
258,Bollywood Spy,"5,990,000.00","2,586,478,081.00","65,867.00",Entertainment,2016,5.99,25864.78081
259,SumanTV,"6,080,000.00","2,568,604,661.00","47,239.00",Entertainment,2013,6.08,25686.04661
260,Ankush Raja Official,"7,030,000.00","2,559,632,210.00",134.00,Music,2018,7.03,25596.3221
261,SACH TAK NEWS,"5,990,000.00","2,555,207,199.00","3,832.00",,2018,5.99,25552.07199
262,10TV News Telugu,"3,300,000.00","2,553,366,177.00","156,369.00",News & Politics,2013,3.3,25533.66177
263,Himesh Reshammiya Melodies,"7,020,000.00","2,544,376,818.00",139.00,Music,2020,7.02,25443.76818
264,Khesari Music World,"7,680,000.00","2,530,726,556.00",665.00,Music,2017,7.68,25307.26556
265,Salonayyy,"4,920,000.00","2,528,413,702.00",593.00,Comedy,2019,4.92,25284.13702
266,Kabita's Kitchen,"12,800,000.00","2,524,916,250.00","1,332.00",Howto & Style,2014,12.8,25249.1625
267,NewsFirst Kannada,"2,580,000.00","2,523,044,998.00","74,064.00",News & Politics,2018,2.58,25230.44998
268,realme India,"3,670,000.00","2,522,157,966.00",752.00,Science & Technology,2018,3.67,25221.57966
269,National Dastak,"6,930,000.00","2,510,506,100.00","33,026.00",News & Politics,2015,6.93,25105.061
270,Bollywood Chronicle,"2,780,000.00","2,493,685,712.00","18,827.00",Entertainment,2017,2.78,24936.85712
271,Star Studios,"6,150,000.00","2,485,350,383.00",905.00,Entertainment,2014,6.15,24853.50383
272,Colors Kannada,"3,290,000.00","2,484,804,147.00","69,063.00",Entertainment,2010,3.29,24848.04147
273,RCM Bhojpuri Hit,"8,990,000.00","2,459,903,152.00","9,133.00",Film & Animation,2016,8.99,24599.03152
274,Pramod`s Life,"5,510,000.00","2,437,735,857.00",411.00,Autos & Vehicles,2015,5.51,24377.35857
275,ZHC,"25,000,000.00","2,437,393,969.00",305.00,Film & Animation,2013,25,24373.93969
276,Aaj Tak HD,"6,340,000.00","2,434,567,878.00","82,275.00",News & Politics,2018,6.34,24345.67878
277,Ankit Porwal,"3,240,000.00","2,429,671,620.00","1,625.00",Education,2011,3.24,24296.7162
278,Cineplex,"9,500,000.00","2,421,931,856.00","1,584.00",Entertainment,2015,9.5,24219.31856
279,News Nation,"7,240,000.00","2,417,032,881.00","83,013.00",News & Politics,2012,7.24,24170.32881
280,Supertone Digital,"9,100,000.00","2,413,804,894.00","1,703.00",Music,2013,9.1,24138.04894
281,Rimorav Vlogs,"6,610,000.00","2,408,690,065.00",470.00,Entertainment,2017,6.61,24086.90065
282,SMOL Hindi,"2,760,000.00","2,383,634,291.00","1,029.00",Entertainment,2021,2.76,23836.34291
283,Aniruddhacharya ji,"10,100,000.00","2,374,247,602.00","4,882.00",,2017,10.1,23742.47602
284,Surinder Films,"4,570,000.00","2,371,854,321.00",821.00,Music,2014,4.57,23718.54321
285,Ur SmartMaker Shorts,"4,990,000.00","2,371,638,410.00",145.00,People & Blogs,2018,4.99,23716.3841
286,Sufiyan and Nida,"3,630,000.00","2,368,106,483.00",858.00,Entertainment,2020,3.63,23681.06483
287,Bhakti Dhara,"9,690,000.00","2,345,962,009.00","5,325.00",Music,2011,9.69,23459.62009
288,Sandeep Bhatt Vlogs,"3,140,000.00","2,341,492,678.00",784.00,People & Blogs,2020,3.14,23414.92678
289,Crafter Aditi,"5,560,000.00","2,341,301,955.00",882.00,Howto & Style,2014,5.56,23413.01955
290,Kids Planet,"4,090,000.00","2,332,910,156.00",483.00,Education,2014,4.09,23329.10156
291,Utkarsh Classes Jodhpur,"10,900,000.00","2,332,334,200.00","9,101.00",Education,2012,10.9,23323.342
292,NDJ MUSIC,"6,510,000.00","2,312,056,676.00","7,661.00",Entertainment,2014,6.51,23120.56676
293,Murliwale Hausla,"8,100,000.00","2,305,276,093.00",608.00,,2019,8.1,23052.76093
294,Shruti Arjun Anand,"9,980,000.00","2,304,374,981.00",659.00,Howto & Style,2010,9.98,23043.74981
295,Bindass Kavya,"5,370,000.00","2,301,201,097.00",445.00,,2017,5.37,23012.01097
296,So Saute,"1,930,000.00","2,299,663,019.00","1,110.00",Howto & Style,2020,1.93,22996.63019
297,RSMSA,"3,540,000.00","2,289,038,114.00",415.00,Education,2019,3.54,22890.38114
298,Bharat Tak,"5,990,000.00","2,286,633,457.00","23,375.00",People & Blogs,2017,5.99,22866.33457
299,Kaumudy,"4,240,000.00","2,278,352,309.00","62,057.00",Entertainment,2011,4.24,22783.52309
300,Sanam,"10,400,000.00","2,274,049,720.00",145.00,Music,2012,10.4,22740.4972
301,VK News,"5,600,000.00","2,267,913,472.00","30,015.00",News & Politics,2016,5.6,22679.13472
302,Viralbollywood,"5,430,000.00","2,267,407,042.00","31,799.00",Entertainment,2014,5.43,22674.07042
303,iDream Telugu Movies,"4,630,000.00","2,267,376,947.00","63,283.00",Entertainment,2013,4.63,22673.76947
304,Mohak Meet,"6,180,000.00","2,262,023,883.00",693.00,Comedy,2012,6.18,22620.23883
305,shadab5star,"5,390,000.00","2,257,700,549.00",485.00,Entertainment,2020,5.39,22577.00549
306,Mango Music,"6,840,000.00","2,256,880,661.00","6,840.00",Music,2006,6.84,22568.80661
307,Khandesh Fun,"7,520,000.00","2,248,792,068.00",214.00,Comedy,2016,7.52,22487.92068
308,Shemaroo Gujarati,"4,670,000.00","2,238,300,432.00","6,316.00",Entertainment,2009,4.67,22383.00432
309,Aamchi Mumbai,"3,380,000.00","2,237,999,972.00",825.00,People & Blogs,2015,3.38,22379.99972
310,White Hill Dhaakad,"5,410,000.00","2,223,185,535.00",952.00,Music,2019,5.41,22231.85535
311,JK YADAV FILMS 🌷 MAITHILI,"3,680,000.00","2,203,712,608.00","5,976.00",,2017,3.68,22037.12608
312,Golden unique boy,"5,970,000.00","2,201,601,918.00",433.00,Entertainment,2016,5.97,22016.01918
313,Sai Recordds Digital,"5,310,000.00","2,190,007,002.00","4,257.00",,2012,5.31,21900.07002
314,Yashi Films,"6,590,000.00","2,188,384,102.00","1,577.00",Music,2018,6.59,21883.84102
315,Pramod Premi Entertainment,"4,890,000.00","2,183,981,143.00",203.00,,2018,4.89,21839.81143
316,FactTechz,"17,600,000.00","2,176,398,343.00",630.00,Entertainment,2016,17.6,21763.98343
317,Gyan Gamingㅤ,"14,500,000.00","2,172,195,583.00","2,767.00",Gaming,2017,14.5,21721.95583
318,Sandeep Maheshwari,"26,900,000.00","2,165,117,687.00",561.00,People & Blogs,2012,26.9,21651.17687
319,Headlines India,"7,250,000.00","2,155,861,858.00","10,301.00",News & Politics,2016,7.25,21558.61858
320,Toy Stars,"6,420,000.00","2,149,210,081.00",253.00,People & Blogs,2017,6.42,21492.10081
321,ABC - All Babies Channel,"5,320,000.00","2,147,577,303.00",679.00,Education,2014,5.32,21475.77303
322,Telly Reporter,"3,730,000.00","2,143,608,666.00","35,116.00",Entertainment,2016,3.73,21436.08666
323,shagun style,"4,430,000.00","2,131,981,624.00",372.00,People & Blogs,2018,4.43,21319.81624
324,The World Adventures हिन्दी,"13,500,000.00","2,130,213,910.00",937.00,People & Blogs,2016,13.5,21302.1391
325,Cartoon Network India,"2,940,000.00","2,117,765,391.00","1,837.00",Film & Animation,2009,2.94,21177.65391
326,Cinekorn Movies,"8,250,000.00","2,117,239,741.00",605.00,Film & Animation,2011,8.25,21172.39741
327,bharatzkitchen HINDI,"11,800,000.00","2,116,328,465.00",677.00,Howto & Style,2016,11.8,21163.28465
328,ABP Ganga,"3,790,000.00","2,112,773,670.00","106,114.00",News & Politics,2019,3.79,21127.7367
329,Colors,"2,710,000.00","2,112,484,723.00","6,818.00",Entertainment,2015,2.71,21124.84723
330,Goldmines Cineplex,"21,500,000.00","2,111,884,728.00","2,943.00",Film & Animation,2015,21.5,21118.84728
331,DLS News,"19,200,000.00","2,106,537,514.00","4,193.00",News & Politics,2017,19.2,21065.37514
332,Neetu Bisht,"3,640,000.00","2,106,410,367.00",739.00,Entertainment,2011,3.64,21064.10367
333,Big Animation,"4,960,000.00","2,105,169,462.00",564.00,Film & Animation,2009,4.96,21051.69462
334,Kunal monu,"5,560,000.00","2,103,235,890.00","1,013.00",Entertainment,2018,5.56,21032.3589
335,Filipino Fairy Tales,"4,720,000.00","2,099,080,459.00",566.00,Film & Animation,2016,4.72,20990.80459
336,Angel Bengali Songs,"3,300,000.00","2,096,772,312.00","6,427.00",Music,2006,3.3,20967.72312
337,Rajshri Marathi,"4,190,000.00","2,096,184,530.00","16,483.00",Music,2009,4.19,20961.8453
338,Aditya Music Telugu,"4,730,000.00","2,094,739,817.00","2,400.00",Music,2014,4.73,20947.39817
339,Ultra Cinema,"6,950,000.00","2,087,232,809.00","3,162.00",Entertainment,2013,6.95,20872.32809
340,Miss Matured,"2,550,000.00","2,080,426,578.00",410.00,,2021,2.55,20804.26578
341,The Formal Edit,"4,380,000.00","2,076,323,769.00",721.00,Howto & Style,2017,4.38,20763.23769
342,Dream Stories TV,"6,680,000.00","2,070,696,003.00",226.00,Film & Animation,2017,6.68,20706.96003
343,TWO SIDE GAMERS,"11,800,000.00","2,068,384,585.00","1,875.00",Music,2018,11.8,20683.84585
344,India Today,"6,770,000.00","2,061,004,091.00","129,311.00",News & Politics,2015,6.77,20610.04091
345,Loku,"2,560,000.00","2,054,974,320.00","1,576.00",Music,2016,2.56,20549.7432
346,Sakshi TV,"2,860,000.00","2,045,066,073.00","178,652.00",News & Politics,2014,2.86,20450.66073
347,Jhankar Music,"4,120,000.00","2,033,365,318.00","4,627.00",Entertainment,2010,4.12,20333.65318
348,Desi Gamers,"13,400,000.00","2,032,709,849.00","1,318.00",Gaming,2015,13.4,20327.09849
349,Trakin Tech,"12,800,000.00","2,029,755,915.00","3,453.00",Science & Technology,2011,12.8,20297.55915
350,Sid Akki,"2,940,000.00","2,027,582,588.00",447.00,Entertainment,2016,2.94,20275.82588
351,RDC Rajasthani HD,"5,420,000.00","2,017,691,255.00","5,427.00",Music,2014,5.42,20176.91255
352,Natkhat TV Hindi Tales & Rhymes,"5,380,000.00","2,008,934,671.00",356.00,Film & Animation,2016,5.38,20089.34671
353,SoSorry,"5,230,000.00","2,005,091,145.00","1,151.00",Comedy,2013,5.23,20050.91145
354,Vision Time Tamil,"3,130,000.00","2,003,317,204.00","11,482.00",Shows,2013,3.13,20033.17204
355,Behindwoods Air News,"4,760,000.00","1,999,143,781.00","43,691.00",News & Politics,2018,4.76,19991.43781
356,Studio Sangeeta,"5,460,000.00","1,996,218,349.00","3,719.00",Comedy,2013,5.46,19962.18349
357,Samar Singh Official,"5,370,000.00","1,993,491,899.00",342.00,,2018,5.37,19934.91899
358,Cook With Parul,"7,480,000.00","1,989,743,009.00","1,871.00",Howto & Style,2017,7.48,19897.43009
359,King of Cubers,"6,680,000.00","1,989,549,102.00",226.00,Howto & Style,2019,6.68,19895.49102
360,MOVIES HD,"9,260,000.00","1,989,182,088.00","1,794.00",Entertainment,2015,9.26,19891.82088
361,90's Gaane,"5,140,000.00","1,987,282,971.00",358.00,Music,2019,5.14,19872.82971
362,Rajat shorts !!,"3,530,000.00","1,987,109,130.00",544.00,Entertainment,2017,3.53,19871.0913
363,Desi Records,"5,730,000.00","1,981,237,781.00",22.00,Music,2016,5.73,19812.37781
364,Funcho Shorts,"3,940,000.00","1,973,532,279.00",249.00,People & Blogs,2021,3.94,19735.32279
365,Roshanjamhir5star,"4,300,000.00","1,971,492,537.00",535.00,Entertainment,2021,4.3,19714.92537
366,Make Joke Of,"11,900,000.00","1,969,730,577.00",50.00,Comedy,2017,11.9,19697.30577
367,tiyaa_ningwal_official,"5,220,000.00","1,964,902,678.00",390.00,Entertainment,2016,5.22,19649.02678
368,Speed Records Bhojpuri,"5,810,000.00","1,963,270,599.00","2,761.00",Music,2018,5.81,19632.70599
369,Eagle Home Entertainments,"10,200,000.00","1,948,067,119.00","20,582.00",Entertainment,2015,10.2,19480.67119
370,Celebrity Shala,"1,900,000.00","1,944,533,088.00","5,943.00",Entertainment,2019,1.9,19445.33088
371,TARANG MUSIC,"5,200,000.00","1,941,585,336.00","3,972.00",Music,2012,5.2,19415.85336
372,Viral Bhayani,"5,420,000.00","1,936,971,280.00","13,706.00",Entertainment,2007,5.42,19369.7128
373,Priyanka Tyagi,"2,770,000.00","1,934,305,590.00",339.00,Comedy,2021,2.77,19343.0559
374,FilmiBeat,"4,930,000.00","1,930,029,104.00","67,317.00",Entertainment,2015,4.93,19300.29104
375,Dainik Jagran - दैनिक जागरण,"5,120,000.00","1,923,605,721.00","38,431.00",News & Politics,2014,5.12,19236.05721
376,NewsGlitz Tamil,"4,410,000.00","1,912,017,228.00","17,816.00",News & Politics,2014,4.41,19120.17228
377,RK Rajani Kaushal,"2,250,000.00","1,909,736,175.00","6,339.00",Entertainment,2018,2.25,19097.36175
378,Jahaann,"3,410,000.00","1,907,107,513.00",489.00,Entertainment,2017,3.41,19071.07513
379,Khan GS Research Centre,"19,900,000.00","1,901,748,524.00",353.00,Education,2019,19.9,19017.48524
380,Sambhavna Seth Entertainment,"3,420,000.00","1,900,213,398.00","1,503.00",Entertainment,2014,3.42,19002.13398
381,Movies Insight Hindi,"5,150,000.00","1,895,161,464.00","1,020.00",Entertainment,2020,5.15,18951.61464
382,Live Cities Media Private Limited,"5,060,000.00","1,895,121,698.00","56,992.00",News & Politics,2016,5.06,18951.21698
383,Multi DO Hindi,"4,390,000.00","1,887,673,993.00",316.00,,2020,4.39,18876.73993
384,Lena Slime,"6,230,000.00","1,886,909,446.00","1,077.00",People & Blogs,2018,6.23,18869.09446
385,Being Suku,"2,880,000.00","1,880,502,593.00",349.00,Entertainment,2020,2.88,18805.02593
386,BR Chopra & TV Serials,"4,820,000.00","1,878,300,598.00","1,982.00",Entertainment,2018,4.82,18783.00598
387,Sonam Prajapati,"3,860,000.00","1,865,779,917.00","1,267.00",Entertainment,2014,3.86,18657.79917
388,Riddhi Music,"4,950,000.00","1,864,046,972.00",257.00,Music,2018,4.95,18640.46972
389,Little Talks,"2,450,000.00","1,863,636,921.00","15,011.00",Entertainment,2018,2.45,18636.36921
390,asheeya,"1,320,000.00","1,863,434,921.00","1,048.00",Entertainment,2019,1.32,18634.34921
391,Chattambees,"2,680,000.00","1,857,632,309.00",418.00,Comedy,2020,2.68,18576.32309
392,Magnet Brains,"8,640,000.00","1,854,586,482.00","37,461.00",,2016,8.64,18545.86482
393,Gulzaar Chhaniwala,"8,020,000.00","1,841,986,295.00",74.00,Music,2018,8.02,18419.86295
394,Behindwoods Max,"1,340,000.00","1,837,829,454.00","20,787.00",Film & Animation,2019,1.34,18378.29454
395,Aam Aadmi Party,"4,390,000.00","1,830,248,768.00","7,900.00",News & Politics,2011,4.39,18302.48768
396,Techno Craz,"1,820,000.00","1,829,471,441.00","1,500.00",Science & Technology,2020,1.82,18294.71441
397,Pulkit shukla TD,"4,460,000.00","1,828,005,304.00",442.00,People & Blogs,2015,4.46,18280.05304
398,Ekta Sound,"4,350,000.00","1,826,747,825.00","1,934.00",Music,2014,4.35,18267.47825
399,Ashish Bisht,"2,190,000.00","1,825,898,846.00",788.00,Entertainment,2009,2.19,18258.98846
400,BeastBoyShub,"5,840,000.00","1,825,828,142.00","1,154.00",Gaming,2015,5.84,18258.28142
401,Mythri Movie Makers,"3,810,000.00","1,825,289,207.00","1,167.00",Entertainment,2015,3.81,18252.89207
402,M4 Tech,"8,460,000.00","1,823,422,936.00",474.00,Entertainment,2017,8.46,18234.22936
403,Crown Records,"5,410,000.00","1,815,529,617.00",216.00,Music,2015,5.41,18155.29617
404,BIHARIWOOD - बिहारीवुड,"4,990,000.00","1,808,854,769.00","8,043.00",,2015,4.99,18088.54769
405,Colors Tamil,"3,270,000.00","1,799,901,923.00","32,925.00",Entertainment,2018,3.27,17999.01923
406,Mana Stars,"2,410,000.00","1,798,721,854.00","19,019.00",Entertainment,2018,2.41,17987.21854
407,Kuldeep Singhania Shorts,"5,140,000.00","1,785,852,962.00",680.00,People & Blogs,2021,5.14,17858.52962
408,Goldmines Premiere,"13,000,000.00","1,785,687,301.00",657.00,Entertainment,2013,13,17856.87301
409,News7 Tamil,"5,070,000.00","1,779,151,785.00","137,202.00",News & Politics,2014,5.07,17791.51785
410,Star Music India,"2,840,000.00","1,778,621,447.00",863.00,Music,2013,2.84,17786.21447
411,OnePlus India,"4,560,000.00","1,776,358,317.00",545.00,Science & Technology,2016,4.56,17763.58317
412,Planet Earth INDIA,"12,000,000.00","1,769,244,891.00",648.00,People & Blogs,2011,12,17692.44891
413,Ram Audio,"4,210,000.00","1,769,123,699.00","2,599.00",Comedy,2011,4.21,17691.23699
414,News18 Punjab/Haryana/Himachal,"3,460,000.00","1,767,157,226.00","115,619.00",People & Blogs,2015,3.46,17671.57226
415,Saawariya,"4,350,000.00","1,767,045,990.00","3,872.00",Music,2014,4.35,17670.4599
416,செல்லமே செல்லம் Chellame Chellam!!,"3,060,000.00","1,765,374,044.00",533.00,Education,2012,3.06,17653.74044
417,Wanderers Hub,"6,460,000.00","1,764,881,178.00",292.00,People & Blogs,2016,6.46,17648.81178
418,G M Dance Centre,"5,410,000.00","1,763,879,576.00",208.00,Entertainment,2015,5.41,17638.79576
419,Physics Wallah - Alakh Pandey,"9,590,000.00","1,762,213,459.00","1,429.00",Education,2014,9.59,17622.13459
420,Slayy Point,"7,470,000.00","1,756,267,384.00",155.00,Entertainment,2016,7.47,17562.67384
421,Masti Tv - Hindi Stories,"6,860,000.00","1,749,417,176.00",289.00,Entertainment,2019,6.86,17494.17176
422,Wait For It,"3,500,000.00","1,742,015,413.00",207.00,Entertainment,2022,3.5,17420.15413
423,Premium Digiplex Movies,"7,890,000.00","1,736,715,079.00",179.00,Film & Animation,2015,7.89,17367.15079
424,Shahid paneer,"4,180,000.00","1,730,079,335.00",303.00,Comedy,2022,4.18,17300.79335
425,The Viral Fever,"11,400,000.00","1,725,038,378.00",467.00,Entertainment,2011,11.4,17250.38378
426,Incredible Alien,"3,050,000.00","1,717,606,338.00",696.00,Entertainment,2020,3.05,17176.06338
427,Manish Jodhpuri,"3,630,000.00","1,715,403,586.00",395.00,Entertainment,2018,3.63,17154.03586
428,NITIN FREE FIRE,"10,200,000.00","1,714,092,984.00",721.00,Gaming,2019,10.2,17140.92984
429,YOYO TV Channel,"3,310,000.00","1,713,233,609.00","100,373.00",News & Politics,2016,3.31,17132.33609
430,Badshah,"6,410,000.00","1,712,312,978.00",144.00,Music,2014,6.41,17123.12978
431,JP Choudhary,"3,560,000.00","1,709,036,678.00",656.00,People & Blogs,2016,3.56,17090.36678
432,Cinema Vikatan,"3,890,000.00","1,690,104,482.00","8,181.00",Entertainment,2010,3.89,16901.04482
433,mr_shadab _72,"3,300,000.00","1,689,346,529.00",642.00,Education,2019,3.3,16893.46529
434,Hansraj Raghuwanshi,"10,000,000.00","1,687,186,409.00",88.00,Music,2016,10,16871.86409
435,Oru Al Mallu Family,"1,610,000.00","1,680,031,074.00",555.00,People & Blogs,2021,1.61,16800.31074
436,Bhojpuri Movies,"9,600,000.00","1,677,598,661.00",241.00,Movies,2016,9.6,16775.98661
437,Kalinga TV,"2,600,000.00","1,672,870,246.00","159,694.00",News & Politics,2015,2.6,16728.70246
438,Bhakti Sagar AR Entertainments,"4,580,000.00","1,670,567,124.00","1,932.00",People & Blogs,2015,4.58,16705.67124
439,Rang TV,"1,830,000.00","1,666,105,409.00","21,489.00",Entertainment,2016,1.83,16661.05409
440,Ujjal Dance Group,"7,830,000.00","1,660,453,718.00",90.00,Entertainment,2014,7.83,16604.53718
441,Hindi Kahaniya Funny Comedy Stories,"5,180,000.00","1,656,455,359.00",346.00,Entertainment,2017,5.18,16564.55359
442,Raksha ki Rasoi,"6,700,000.00","1,654,164,221.00","1,961.00",People & Blogs,2018,6.7,16541.64221
443,Everest Marathi,"3,130,000.00","1,654,049,389.00","1,873.00",Entertainment,2012,3.13,16540.49389
444,Wow Kidz Indonesia,"3,300,000.00","1,641,637,923.00","1,657.00",Film & Animation,2017,3.3,16416.37923
445,Spiritual Mantra,"8,410,000.00","1,635,522,409.00","1,396.00",Music,2010,8.41,16355.22409
446,English Connection,"10,500,000.00","1,633,547,213.00","1,010.00",Education,2015,10.5,16335.47213
447,Aeon Pix Studios,"6,810,000.00","1,630,499,932.00",905.00,Film & Animation,2013,6.81,16304.99932
448,Jigar Studio,"3,710,000.00","1,627,660,728.00",828.00,Music,2012,3.71,16276.60728
449,Meshwa Films,"4,340,000.00","1,627,414,846.00","1,148.00",Music,2017,4.34,16274.14846
450,BANG Music,"4,840,000.00","1,625,834,736.00",70.00,Music,2019,4.84,16258.34736
451,Mohak Narang,"3,840,000.00","1,621,431,486.00",322.00,Education,2016,3.84,16214.31486
452,Filmylooks,"1,910,000.00","1,621,250,550.00","23,788.00",Entertainment,2016,1.91,16212.5055
453,Mini Foodkey,"3,130,000.00","1,619,945,344.00",103.00,Howto & Style,2017,3.13,16199.45344
454,PS TAMIL SONG,"2,880,000.00","1,619,051,968.00","3,828.00",Film & Animation,2015,2.88,16190.51968
455,BiscootTV,"2,980,000.00","1,618,468,806.00","29,863.00",Entertainment,2013,2.98,16184.68806
456,Kiddiestv Bangla,"4,060,000.00","1,615,241,129.00",122.00,Education,2017,4.06,16152.41129
457,Sharma Sisters,"2,810,000.00","1,612,115,313.00",460.00,People & Blogs,2019,2.81,16121.15313
458,Wonder Of Stories,"3,950,000.00","1,610,318,848.00",271.00,,2019,3.95,16103.18848
459,Dr. Vivek Bindra: Motivational Speaker,"20,400,000.00","1,599,679,499.00",785.00,Education,2013,20.4,15996.79499
460,Kapil Sharma,"8,180,000.00","1,598,602,219.00",234.00,Entertainment,2017,8.18,15986.02219
461,D Jackson,"4,560,000.00","1,596,796,565.00",532.00,Entertainment,2020,4.56,15967.96565
462,LOKESH GAMER,"15,400,000.00","1,593,211,555.00","1,279.00",Gaming,2017,15.4,15932.11555
463,World Affairs,"2,860,000.00","1,592,290,053.00","3,011.00",,2020,2.86,15922.90053
464,BIG Magic,"4,070,000.00","1,590,211,573.00","11,499.00",Entertainment,2013,4.07,15902.11573
465,The Prince Yadav,"3,890,000.00","1,581,753,589.00",102.00,Entertainment,2017,3.89,15817.53589
466,Al Jasar Siddiqui,"4,140,000.00","1,572,796,753.00",658.00,Entertainment,2017,4.14,15727.96753
467,Next9TvNews सीरियल अपडेट,"2,750,000.00","1,572,665,580.00","101,686.00",Entertainment,2017,2.75,15726.6558
468,Examपुर,"9,990,000.00","1,571,451,889.00","56,162.00",Education,2016,9.99,15714.51889
469,Bolly Kick,"8,290,000.00","1,570,425,809.00",757.00,Film & Animation,2011,8.29,15704.25809
470,online news india,"4,490,000.00","1,567,849,678.00","7,483.00",News & Politics,2018,4.49,15678.49678
471,Shemaroo Movie in Parts,"4,320,000.00","1,555,301,307.00","6,171.00",Entertainment,2014,4.32,15553.01307
472,Swami Ramdev,"9,450,000.00","1,548,464,471.00","6,667.00",,2010,9.45,15484.64471
473,Movie Scenes - Angel Digital,"2,660,000.00","1,548,337,589.00","6,211.00",Film & Animation,2016,2.66,15483.37589
474,CWE India,"4,430,000.00","1,545,802,120.00","5,985.00",Entertainment,2015,4.43,15458.0212
475,aman dancer real,"3,360,000.00","1,540,325,571.00",234.00,Entertainment,2020,3.36,15403.25571
476,IBC24,"4,110,000.00","1,539,760,801.00","164,542.00",News & Politics,2015,4.11,15397.60801
477,RadaanMedia,"1,620,000.00","1,539,190,397.00","10,973.00",Entertainment,2012,1.62,15391.90397
478,Ssoftoons Animation,"5,120,000.00","1,529,733,270.00",322.00,Film & Animation,2015,5.12,15297.3327
479,Swad official,"2,120,000.00","1,525,942,128.00","1,244.00",People & Blogs,2018,2.12,15259.42128
480,One Media Entertainment,"2,440,000.00","1,518,285,386.00",748.00,Entertainment,2017,2.44,15182.85386
481,Jugnu Kids - Bangla Nursery Rhymes & Baby Songs,"3,690,000.00","1,518,235,628.00",339.00,People & Blogs,2017,3.69,15182.35628
482,Filmy Crazy,"3,460,000.00","1,517,340,810.00","4,422.00",Entertainment,2018,3.46,15173.4081
483,Royal Music Factory,"3,340,000.00","1,513,607,879.00","1,410.00",Music,2018,3.34,15136.07879
484,Tech Burner,"10,000,000.00","1,510,370,148.00","1,051.00",Science & Technology,2014,10,15103.70148
485,Satyajeet Jena Official,"9,100,000.00","1,508,685,294.00",106.00,Music,2014,9.1,15086.85294
486,RKworld,"2,030,000.00","1,505,548,316.00",202.00,Comedy,2020,2.03,15055.48316
487,Shemaroo Punjabi,"4,010,000.00","1,504,566,295.00","2,958.00",Music,2009,4.01,15045.66295
488,Bhajan India,"8,210,000.00","1,504,339,942.00","3,482.00",Music,2014,8.21,15043.39942
489,With Love Nagaraj Sangeetha,"2,370,000.00","1,499,027,112.00",453.00,People & Blogs,2013,2.37,14990.27112
490,Madan Gowri,"6,630,000.00","1,493,155,006.00","2,063.00",Entertainment,2013,6.63,14931.55006
491,Mumbiker Nikhil,"3,930,000.00","1,490,194,845.00","2,053.00",People & Blogs,2013,3.93,14901.94845
492,Wave Dhamaka,"3,830,000.00","1,489,533,043.00","4,119.00",Music,2018,3.83,14895.33043
493,Mankirt Aulakh,"4,790,000.00","1,489,182,415.00",245.00,Music,2015,4.79,14891.82415
494,Free Fire India Official,"11,700,000.00","1,488,370,841.00","1,275.00",People & Blogs,2018,11.7,14883.70841
495,Riddhi thalassemia major girl,"3,880,000.00","1,483,664,607.00",429.00,Entertainment,2017,3.88,14836.64607
496,Tonde Gamer,"7,790,000.00","1,483,595,029.00","1,741.00",Gaming,2019,7.79,14835.95029
497,Hairstyle Tutorial,"1,320,000.00","1,480,809,289.00","1,435.00",Education,2020,1.32,14808.09289
498,SR Brothers,"5,930,000.00","1,477,793,801.00",54.00,Entertainment,2018,5.93,14777.93801
499,Veg Village Food,"5,620,000.00","1,477,138,194.00",419.00,Howto & Style,2014,5.62,14771.38194
500,Rengoni TV,"2,330,000.00","1,468,985,991.00","14,784.00",,2013,2.33,14689.85991
501,Gunjan Singh Entertainment,"3,550,000.00","1,467,750,991.00",212.00,,2018,3.55,14677.50991
502,Hindustan Gamer,"3,980,000.00","1,465,804,664.00",684.00,Gaming,2015,3.98,14658.04664
503,Wings Marathi,"4,310,000.00","1,461,707,143.00","2,256.00",Entertainment,2010,4.31,14617.07143
504,VATS RECORDS,"3,720,000.00","1,461,279,583.00",108.00,Music,2019,3.72,14612.79583
505,Majedar Kahaniya,"5,320,000.00","1,458,839,044.00",242.00,Entertainment,2017,5.32,14588.39044
506,DIL Music,"4,310,000.00","1,455,509,022.00",67.00,Music,2011,4.31,14555.09022
507,SEPL VIDEO,"4,560,000.00","1,452,477,474.00","11,651.00",Film & Animation,2012,4.56,14524.77474
508,Oye Indori - Ab Hasega India,"4,480,000.00","1,452,285,062.00",182.00,Entertainment,2017,4.48,14522.85062
509,Comedy Captain,"10,700,000.00","1,451,414,660.00","1,246.00",Comedy,2016,10.7,14514.1466
510,CarryisLive,"11,600,000.00","1,450,676,239.00",947.00,Gaming,2017,11.6,14506.76239
511,Danish5star,"2,910,000.00","1,447,690,583.00",430.00,People & Blogs,2019,2.91,14476.90583
512,News24 Sports,"2,770,000.00","1,441,344,148.00","17,616.00",People & Blogs,2019,2.77,14413.44148
513,SRS Media Vision | Kannada Full Movies,"3,270,000.00","1,438,148,598.00","1,098.00",Movies,2014,3.27,14381.48598
514,Onespot Gaming,"3,450,000.00","1,436,307,704.00","2,010.00",Gaming,2016,3.45,14363.07704
